average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
37.10, (PAK),200,79,48,Mohsin Khan,6,2709,1978-1986
44.34, (PAK),203*,68,45,Shoaib Mohammad,7,2705,1983-1995
31.20, (NZ),119*,92,50,MG Burgess,6,2684,1968-1980
37.57, (NZ),174*,85,52,JV Coney,14,2668,1974-1987
36.39, (PAK),112,86,49,Sarfaraz Ahmed,13,2657,2010-2019
30.79, (PAK),158*,92,53,Kamran Akmal,6,2648,2002-2010
35.43, (SA),222*,83,48,JA Rudolph,9,2622,2003-2012
31.08, (INDIA),121,87,46,FM Engineer,3,2611,1961-1975
33.01, (WI),213,80,45,WW Hinds,1,2608,2000-2005
29.38, (NZ),189,89,47,MJ Guptill,1,2586,2009-2016
35.81, (PAK),166,74,41,Sadiq Mohammad,2,2579,1969-1981
28.31, (WI),118,112,65,RD Jacobs,21,2577,1998-2004
29.27, (SL),225,89,52,RS Mahanama,1,2576,1986-1998
42.81, (ENG),195,66,37,C Washbrook,6,2569,1937-1956
34.02, (AUS),214,79,46,GS Blewett,4,2552,1995-2000
35.66, (SA),117,80,52,JN Rhodes,9,2532,1992-2000
32.44, (NZ),147,83,47,GP Howarth,5,2531,1975-1985
47.60, (WI),258,54,29,SM Nurse,1,2523,1960-1969
45.74, (SA),201,57,30,EJ Barlow,2,2516,1961-1970
34.46, (SA),112,78,41,TL Goddard,5,2516,1955-1970
17.77, (INDIA),110*,173,132,A Kumble,32,2506,1990-2008
40.06, (ENG),158,70,44,BL D'Oliveira,8,2484,1966-1972
35.79, (WI),130,78,52,AL Logie,9,2470,1983-1991
33.37, (ENG),174,79,47,DW Randall,5,2470,1977-1984
40.47, (AUS),193*,66,41,W Bardsley,5,2469,1909-1926
27.08, (NZ),107*,99,56,KR Rutherford,8,2465,1985-1995
38.92, (SL),143,70,41,AP Gurusinha,7,2452,1985-1996
32.56, (INDIA),173,79,43,P Roy,4,2442,1951-1960
40.00, (ENG),219,63,39,WJ Edrich,2,2440,1938-1955
42.06, (SA),255*,64,34,DJ McGlew,6,2440,1951-1962
20.49, (ENG),104,133,91,TG Evans,14,2439,1946-1959
40.56, (ENG),149,72,47,LEG Ames,12,2434,1929-1939
30.44, (SA),134,86,50,JHB Waite,7,2405,1951-1965
32.00, (PAK),128,77,40,Imran Farhat,2,2400,2001-2013
28.10, (INDIA),124,98,71,R Ashwin,13,2389,2011-2020
27.32, (ENG),154,92,52,MR Ramprakash,6,2350,1991-2002
30.19, (ENG),179,98,58,W Rhodes,21,2325,1899-1930
40.61, (INDIA),190,58,34,S Dhawan,1,2315,2013-2018
31.16, (NZ),239,77,39,GT Dowling,3,2306,1961-1972
46.00, (AUS),161,54,35,WM Woodfull,4,2300,1926-1934
29.74, (ENG),134*,91,61,TE Bailey,14,2290,1949-1959
38.16, (AUS),181,68,42,PJP Burge,8,2290,1955-1966
24.53, (AUS),201,100,58,SE Gregory,7,2282,1890-1912
31.63, (ENG),121,78,50,MJK Smith,6,2278,1958-1972
34.31, (AUS),182,68,38,SE Marsh,2,2265,2011-2019
